No,レアリティ,COST,名称,HP (Lv1),HP (MAX),ATK (Lv1),ATK (MAX),効果,効果 (最大解放),備考,攻撃力,宝具威力,ダメージプラス,特攻状態を付与,バスター,クイック,アーツ,クリティカル威力アップ,スター発生率,スター集中,毎ターンスター獲得,必中・無敵貫通,弱体付与,防御力,ダメージカット,特防状態を付与,ガッツ状態を付与,回避・無敵,弱体耐性,弱体無効,HP毎ターン回復,HP回復量,HP最大値上昇,初期NPチャージ,NP獲得量,NP毎ターン獲得,ターゲット集中状態を付与,宝具チャージ段階上昇,退場時,報酬増加系,強化付与
21,4,9,鋼の鍛錬,400,1500,0,0,自身の防御力を15%アップする,自身の防御力を20%アップする[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,4,9,原始呪術,600,2250,0,0,自身の弱体耐性を25%アップする,自身の弱体耐性を30%アップする[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
23,4,9,投影魔術,0,0,400,1500,自身のArtsカードの性能を15%アップする,自身のArtsカードの性能を20%アップする[最大開放],,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,4,9,ガンド,0,0,400,1500,自身のQuickカードの性能を15%アップする,自身のQuickカードの性能を20%アップする[最大開放],,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,4,9,緑の破音,0,0,400,1500,自身のBusterカードの性能を15%アップする,自身のBusterカードの性能を20%アップする[最大開放],,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,4,9,宝石魔術・対影,0,0,400,1500,自身のクリティカル威力を25%アップする,自身のクリティカル威力を30%アップする[最大開放],,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,4,9,優雅たれ,300,1125,200,750,自身のスター発生率を25%アップする,自身のスター発生率を30%アップする[最大開放],,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,4,9,虚数魔術,300,1125,200,750,自身のNPを60%チャージした状態でバトルを開始する,自身のNPを75%チャージした状態でバトルを開始する[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-
29,4,9,天の晩餐,300,1125,200,750,自身のNP獲得量を25%アップする,自身のNP獲得量を30%アップする[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-
30,4,9,天使の詩,0,0,400,1500,自身の宝具威力を25%アップする,自身の宝具威力を30%アップする[最大開放],,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,5,12,フォーマルクラフト,0,0,500,2000,自身のArtsカードの性能を25%アップする,自身のArtsカードの性能を30%アップする[最大開放],,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,5,12,イマジナリ・アラウンド,0,0,500,2000,自身のQuickカードの性能を25%アップする,自身のQuickカードの性能を30%アップする[最大開放],,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,5,12,リミテッド／ゼロオーバー,0,0,500,2000,自身のBusterカードの性能を25%アップする,自身のBusterカードの性能を30%アップする[最大開放],,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,5,12,カレイドスコープ,0,0,500,2000,自身のNPを80%チャージした状態でバトルを開始する,自身のNPを100%チャージした状態でバトルを開始する[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-
35,5,12,ヘブンズ・フィール,0,0,500,2000,自身の宝具威力を40%アップする,自身の宝具威力を50%アップする[最大開放],,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,4,3,旅の始まり,-,50,-,50,-,サポートで得られるフレンドポイントが+75される,ムック本特典,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
37,3,5,葦の海,300,1500,0,0,自身に回避状態を付与(1回)＆弱体耐性を5%,自身に回避状態を付与(1回)＆弱体耐性を10%[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-
38,4,9,封印指定執行者,0,0,400,1500,自身のスター集中度を600%アップする,自身のスター集中度を800%アップする[最大開放],,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,4,9,マグダラの聖骸布,400,1500,0,0,自身に〔男性〕特防状態を25%付与する,自身に〔男性〕特防状態を30%付与する[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,5,12,プリズマコスモス,375,1500,250,1000,自身に毎ターンNP8%獲得状態を付与する,自身に毎ターンNP10%獲得状態を付与する[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
41,5,12,不夜の薔薇,500,2000,0,0,自身にガッツ状態(1回・HP500回復)を付与,自身にガッツ状態(1回・HP1000回復)を付与[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,3,5,ムーンセル・オートマトン,0,0,200,1000,自身のQuickカード性能を3%アップ＆Artsカード性能を3%アップ＆Busterカード性能を3%アップ,自身のQuickカード性能を5%アップ＆Artsカード性能を5%アップ＆Busterカード性能を5%アップ[最大開放],,-,-,-,-,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,4,9,ムーニー・ジュエル,600,2250,0,0,自身の魅了耐性を80%アップする,自身の魅了耐性を100%アップする[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
44,5,12,月女神の沐浴,500,2000,0,0,自身に毎ターンHP500回復状態を付与する,自身に毎ターンHP750回復状態を付与する[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-
45,5,12,ムーンライト・フェスト,375,1500,250,1000,自身のスター発生率を15%アップ＆クリティカル威力を15%アップ,自身のスター発生率を20%アップ＆クリティカル威力を20%アップ[最大開放],イベント期間限定,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,5,ルーンストーン,150,750,100,500,自身の弱体耐性を5%アップ＆スター集中度を100%アップする,自身の弱体耐性を10%アップ＆スター集中度を200%アップする[最大開放],,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
47,4,9,一の太刀,0,0,400,1500,自身に必中状態を付与＆自身のQuickカードの性能を8%アップする,自身に必中状態を付与＆自身のQuickカードの性能を10%アップする[最大開放],,-,-,-,-,-,○,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,5,12,黒の聖杯,0,0,600,2400,自身の宝具威力を60%アップ＆毎ターンHP500減少状態を付与【デメリット】,自身の宝具威力を80%アップ[最大開放]＆毎ターンHP500減少状態を付与【デメリット】[最大開放],,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-
49,3,5,ジャック・オー・ランタン,0,0,200,1000,自身に与ダメージプラス100状態を付与,自身に与ダメージプラス200状態を付与[最大開放],イベント期間限定,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,3,5,トリック・オア・トリート,150,750,100,500,自身の弱体成功率を10%アップする,自身の弱体成功率を12%アップする[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,4,9,ハロウィン・アレンジメント,600,2250,0,0,自身にターゲット集中状態を付与(1ターン)＆防御力アップ60%(1ターン),自身にターゲット集中状態を付与(1ターン)＆防御力アップ80%(1ターン)[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-
52,5,12,ハロウィン・プリンセス,375,1500,250,1000,自身の宝具の威力を15%アップ＆NPを30%チャージした状態でバトルを開始する,自身の宝具の威力を20%アップ＆NPを50%チャージした状態でバトルを開始する[最大開放],イベント期間限定,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-
53,5,12,ハロウィン・プチデビル,0,0,500,2000,自身のNP獲得量を20%アップ＆NPを50%チャージした状態でバトルを開始する,自身のNP獲得量を25%アップ＆NPを60%チャージした状態でバトルを開始する[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-
54,5,12,メイド・イン・ハロウィン,750,3000,0,0,自身のHP回復量アップを60%,自身のHP回復量アップを75%[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-
55,3,5,そして船は征く,300,1500,0,0,自身に毎ターンHP100回復状態を付与する,自身に毎ターンHP200回復状態を付与する[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-
56,4,9,コードキャスト,300,1125,200,750,自身の攻撃力を25%アップ(3ターン)＆防御力を25%アップ(3ターン),自身の攻撃力を30%アップ(3ターン)＆防御力を30%アップ(3ターン)[最大開放],,○,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,5,12,月の勝利者,0,0,600,2400,自身のBusterカードの性能を10%アップ＆クリティカル威力を20%アップする,自身のBusterカードの性能を15%アップ＆クリティカル威力を25%アップする[最大開放],,-,-,-,-,○,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,5,12,もう一つの結末,0,0,600,2400,自身のArtsカードの性能を10%アップ＆クリティカル威力を20%アップする,自身のArtsカードの性能を15%アップ＆クリティカル威力を25%アップする[最大開放],,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,3,5,Fate ぐだぐだオーダー,150,750,100,500,自身のQuickカード性能＆Artsカード性能＆Busterカード性能＆スター発生率＆スター集中度＆クリティカル威力＆NP獲得量＆宝具威力＆弱体付与成功率＆弱体耐性＆HP回復量それぞれ1%アップ,自身のQuickカード性能＆Artsカード性能＆Busterカード性能＆スター発生率＆スター集中度＆クリティカル威力＆NP獲得量＆宝具威力＆弱体付与成功率＆弱体耐性＆HP回復量それぞれ2%アップ[最大開放],イベント期間限定,-,○,-,-,○,○,○,○,○,○,-,-,○,-,-,-,-,-,○,-,-,○,-,-,○,-,-,-,-,-,-
60,4,9,打ち上げオーダー！,0,0,400,1500,自身のQuickカード性能を10%アップ＆Busterカード性能を10%アップ,自身のQuickカード性能を15%アップ＆Busterカード性能を15%アップ[最大開放],イベント期間限定,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,5,12,ぐだお,0,0,500,2000,自身のクリティカル威力を15%アップ＆宝具威力を15%アップ,自身のクリティカル威力を20%アップ＆宝具威力を20%アップ[最大開放],イベント期間限定,-,○,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,5,12,ぐだぐだ看板娘,750,3000,0,0,自身にターゲット集中状態を付与(3ターン)＆攻撃力を60%アップ(3ターン),自身にターゲット集中状態を付与(3ターン)＆攻撃力を80%アップ(3ターン)[最大開放],イベント期間限定,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-
63,3,5,概念礼装EXPカード：おき太,0,-,0,-,"効果なし (EXP18,000)",-,イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,4,9,概念礼装EXPカード：ノッブ,0,-,0,-,"効果なし (EXP30,000)",-,イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,3,5,魔猪,0,0,200,1000,自身のQuickカードの性能を15%アップする(3ターン),自身のQuickカードの性能を20%アップする(3ターン)[最大開放],,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,4,9,騎士の矜持,300,1125,200,750,自身のクリティカル威力を40%アップする＆防御力を20%ダウン【デメリット】,自身のクリティカル威力を50%アップする＆防御力を20%ダウン【デメリット】[最大開放],,-,-,-,-,-,-,-,○,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,5,12,2030年の欠片,750,3000,0,0,自身に毎ターンクリティカルスター8個獲得状態を付与,自身に毎ターンクリティカルスター10個獲得状態を付与[最大開放],,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,3,5,雷光のトナカイ君,0,0,200,1000,自身のBusterカードの性能を15%アップする(3ターン),自身のBusterカードの性能を20%アップする(3ターン)[最大開放],イベント期間限定,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,4,9,聖者の行進,600,2250,0,0,自身に毎ターンHP200回復状態を付与＆＆毎ターンNP3%獲得状態を付与,自身に毎ターンHP300回復状態を付与＆＆毎ターンNP4%獲得状態を付与[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,○,-,-,-,-,-
70,5,12,プレゼント・フォー・マイマスター,750,3000,0,0,自身のスター集中度を100%アップ＆回復量を40%アップ,自身のスター集中度を200%アップ＆回復量を50%アップ[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-
71,5,12,ホーリーナイト・サイン,375,1500,250,1000,自身のQuickカード性能を8%アップ＆クリティカル威力を15%アップ,自身のQuickカード性能を10%アップ＆クリティカル威力を20%アップ[最大開放],イベント期間限定,-,-,-,-,-,○,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,3,5,時計塔,300,1500,0,0,自身に毎ターンNP2%獲得状態を付与する,自身に毎ターンNP3%獲得状態を付与する[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
73,4,9,死霊魔術,600,2250,0,0,自身のHP0時に確率でガッツ発動状態(HP500回復)を付与,自身のHP0時に確率でガッツ発動状態(HP1000回復)を付与[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,4,9,目覚めた意志,300,1125,200,750,自身に毎ターン確率でNP12%獲得状態を付与(確率60%)＆毎ターンHP500減少状態を付与【デメリット】,自身に毎ターン確率でNP15%獲得状態を付与(確率60%)＆毎ターンHP500減少状態を付与【デメリット】[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,○,-,-,-,-,-
75,5,12,五百年の妄執,0,0,600,2400,自身がやられた時に敵に宝具封印(2ターン)＆呪い状態(1000ダメージ・10ターン)を付与する,自身がやられた時に敵に宝具封印(2ターン)＆呪い状態(2000ダメージ・10ターン)を付与する[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-
76,3,5,2016年の平穏,300,1500,0,0,自身に毎ターンHP200回復状態を付与＆攻撃力を10%ダウン【デメリット】,自身に毎ターンHP300回復状態を付与＆攻撃力を10%ダウン【デメリット】[最大開放],期間限定ガチャ,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-
77,4,9,ヒロイック・ニューイヤー,320,1200,200,750,自身に弱体無効状態(1回)を付与＆防御力を8%アップする,自身に弱体無効状態(1回)を付与＆防御力を10%アップする[最大開放],期間限定ガチャ,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
78,3,5,ジャングルの掟,0,0,200,1000,クエストクリアで得られるQPを2015増やす,クエストクリアで得られるQPを2016増やす[最大開放],期間限定ガチャ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
79,5,12,グランド・ニューイヤー,750,3000,0,0,自身にターゲット集中状態を付与(1ターン)＆無敵状態を付与(1ターン)＆弱体耐性を10%アップ,自身にターゲット集中状態を付与(1ターン)＆無敵状態を付与(1ターン)＆弱体耐性を20%アップ[最大開放],期間限定ガチャ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,○,-,-,-,-
80,5,12,モナ・リザ,400,1600,250,1000,ドロップで得られるQPの量を2%増やす,ドロップで得られるQPの量を10%増やす[最大開放],期間限定マナプリ交換,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
81,4,3,ハッピー×3・オーダー,-,2016,-,0,-,自身に毎ターンクリティカルスター1個獲得状態を付与[最大開放],,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,5,12,ピュアリー・ブルーム,0,0,500,2000,自身の宝具の威力が毎ターン5%アップ(最大40%),自身の宝具の威力が毎ターン5%アップ(最大50%)[最大開放],イベント期間限定,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,5,12,アルトリアの星,0,0,500,2000,自身にガッツ状態を付与(1回・HP1回復)＆弱体耐性を5%アップ,自身にガッツ状態を付与(1回・HP1回復)＆弱体耐性を10%アップ[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,○,-,-,-,-,-,-,-,-,-,-,-,-
84,3,5,正射必中,0,0,200,1000,自身に必中状態を付与＆クリティカル威力を3%アップ,自身に必中状態を付与＆クリティカル威力を5%アップ[最大開放],イベント期間限定,-,-,-,-,-,-,-,○,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,4,9,みこっと！花嫁修業,600,2250,0,0,自身に毎ターン確率でHP750回復状態を付与,自身に毎ターン確率でHP1000回復状態を付与[最大開放],イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-
86,5,12,紅蓮なり影の国,400,1600,250,1000,自身に与ダメージプラス状態を付与(毎ターン効果アップ・最大＋1000),自身に与ダメージプラス状態を付与(毎ターン効果アップ・最大＋1200)[最大開放],イベント期間限定,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,4,9,概念礼装EXPカード：謎の物質α,0,-,0,-,"効果なし (EXP30,000)",-,イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,3,5,概念礼装EXPカード：謎の物質β,0,-,0,-,"効果なし (EXP18,000)",-,イベント期間限定,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,3,5,柳洞寺,160,800,100,500,自身の宝具の威力を10%アップ&NPを20%チャージした状態でバトルを開始する,自身の宝具の威力を15%アップ&NPを30%チャージした状態でバトルを開始する[最大開放],,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-
90,3,5,魔力計,0,0,200,1000,自身に〔キャスター〕クラスへの特攻状態を8%付与,自身に〔キャスター〕クラスへの特攻状態を10%付与[最大開放],,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,3,5,愛の霊薬,160,800,100,500,自身の魅了付与成功率を12%アップする,自身の魅了付与成功率を15%アップする[最大開放],,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,3,5,シュトルヒリッター,0,0,200,1000,〔バーサーカー〕クラスが装備した場合宝具威力を15%アップ,〔バーサーカー〕クラスが装備した場合宝具威力を25%アップ[最大開放],,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,3,5,阿蘭若,0,0,200,1000,自身のArtsカードの性能を15%アップする(3ターン),自身のArtsカードの性能を20%アップする(3ターン)[最大開放],,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
